Familie;family
Baby;baby
besuchen;to visit
bleiben;to stay
Bruder;brother
Cousin;cousin
Kind;child
kinderlos;childless
Eltern;parents
Erwachsener;adult
erwachsen;grown-up
Opa;grandpa/granddad
Nachname;surname
Freund/in;friend
Freundschaft;friendship
Gast;guest
Gastfreundschaft;hospitality
geboren;born
Geburt;birth
Geburtstag;birthday
Onkel;uncle
aufrichtig;sincerely
geschieden von;divorced from
brüderlich;brotherly
Bruderschaft;brotherhood
schwesterlich;sisterly
Schwester;sister
getrennt;separated
Großeltern;grandparents
Großmutter;grandmother
Großvater;grandfather
Hausnummer;house number
das;pet
aufrichtig;sincere
Junge;boy
Mädchen;girl
ledig;single
Mann;man
Mutter;mother
Mutti;mum
Name;name
Oma;granny
Tochter;daughter
Schwager;brother-in-law
Schwägerin;sister-in-law
Schwiegermutter;mother-in-law
Schwiegervater;father-in-law
Sohn;son
Stiefvater;stepfather
Stiefmutter;stepmother
sich streiten;to argue
Tante;aunt
Wohnort;place of residence
Vater (unser);Father
Papa/ Vati;dad
verheiratet mit jmdm.;married to sb.
Vorname;first name
jmdn. Vorstellen;to introduce to sb.
willkommen heißen;to welcome
wohnen;to live
Zwilling;twin
